scenario,task,task_id,run_id,target_case,model,model_type,features,n_features,input_strategy,segment,input_length_pct,rmse,r2,mae,n_runs,seed,source_file
S1,T6,S1_T6,2026-06-08_173840_H4_S1_T6_raw_only,4,RandomForest,ML,Raw,24,prefix,-,40.0,0.0689692456478834,0.750020285910911,0.0564642857142857,7,0,experiments/executions/H4/S1/T6/2026-06-08_173840_H4_S1_T6_raw_only/metrics/H4_S1_T6_shift_metrics.csv
S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,4,RandomForest,ML,Raw+Delta+Meta,51,prefix_with_case6,-,70.0,0.0691034573480974,0.7490464360193525,0.0611119047619047,7,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
S1,T2,S1_T2,2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models,4,RandomForest,ML,Raw+Delta+Meta,51,prefix,-,70.0,0.0691255559121135,0.7488859056973638,0.059852380952381,7,0,experiments/executions/H4/S1/T2/2026-06-08_191851_H4_S1_T2_raw_delta_meta_all_models/metrics/H4_S1_T2_shift_metrics.csv
S1,T5,S1_T5,2026-06-08_171530_H4_S1_T5_with_case6,4,RandomForest,ML,Raw+Delta+Meta,51,prefix_with_case6,-,30.0,0.0697604533613035,0.7442519071154485,0.0582190476190476,7,0,experiments/executions/H4/S1/T5/2026-06-08_171530_H4_S1_T5_with_case6/metrics/H4_S1_T5_shift_metrics.csv
S1,T8,S1_T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,4,RandomForest,ML,Raw+Delta,48,prefix,-,50.0,0.070631373079498,0.7378263059934935,0.0582702380952381,7,0,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/metrics/H4_S1_T8_shift_metrics.csv
S1,T7,S1_T7,2026-06-08_174208_H4_S1_T7_delta_only,4,XGBoost,ML,Delta,24,prefix,-,100.0,0.0707267846464366,0.7371175190318018,0.0579560620976345,7,0,experiments/executions/H4/S1/T7/2026-06-08_174208_H4_S1_T7_delta_only/metrics/H4_S1_T7_shift_metrics.csv
S1,T7,S1_T7,2026-06-08_174208_H4_S1_T7_delta_only,4,RandomForest,ML,Delta,24,prefix,-,30.0,0.0707618219836953,0.7368569958471074,0.0618750866304366,7,0,experiments/executions/H4/S1/T7/2026-06-08_174208_H4_S1_T7_delta_only/metrics/H4_S1_T7_shift_metrics.csv
S1,T4,S1_T4,2026-06-08_193658_H4_S1_T4_delta_meta_only,4,MLP,ML,Delta+Meta,27,prefix,-,100.0,0.0708116675282323,0.7364861425908227,0.0598607882364065,7,0,experiments/executions/H4/S1/T4/2026-06-08_193658_H4_S1_T4_delta_meta_only/metrics/H4_S1_T4_shift_metrics.csv
S1,T8,S1_T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,4,RandomForest,ML,Raw+Delta,48,prefix,-,80.0,0.0709181157173875,0.735693288601101,0.0616202380952381,7,0,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/metrics/H4_S1_T8_shift_metrics.csv
S3,T4,S3_T4,2026-06-08_201902_H4_S3_T4_noload_excluded_prefix,4,RandomForest,ML,Raw+Delta+Meta,51,noload_excl_prefix,Entry+Steady+Exit,30.0,0.0711056344462237,0.7342937030780778,0.0612738095238095,7,0,experiments/executions/H4/S3/T4/2026-06-08_201902_H4_S3_T4_noload_excluded_prefix/metrics/H4_S3_T4_locv_per_case.csv
S1,T8,S1_T8,2026-06-08_174655_H4_S1_T8_raw_delta_no_meta,4,RandomForest,ML,Raw+Delta,48,prefix,-,40.0,0.0712986207679552,0.7328494499708044,0.0627607142857142,7,0,experiments/executions/H4/S1/T8/2026-06-08_174655_H4_S1_T8_raw_delta_no_meta/metrics/H4_S1_T8_shift_metrics.csv
